County,Year,Population
Stokes,2019,5809
Stokes,2020,5798
Surry,2018,10661
Surry,2019,10504
Surry,2020,10453
Swain,2018,2328
Swain,2019,2345
Swain,2020,2280
Transylvania,2018,3779
Transylvania,2019,3722
Transylvania,2020,3684
Tyrrell,2018,562
Tyrrell,2019,525
Tyrrell,2020,508
Union,2018,42192
Union,2019,41860
Union,2020,42070
Vance,2018,7591
Vance,2019,7535
Vance,2020,7510
Wake,2018,185714
Wake,2019,185913
Wake,2020,185551
Warren,2018,2540
Warren,2019,2455
Warren,2020,2373
Washington,2018,1721
Washington,2019,1634
Washington,2020,1644
Watauga,2018,5093
Watauga,2019,5024
Watauga,2020,4901
Wayne,2018,21270
Wayne,2019,21167
Wayne,2020,21171
Wilkes,2018,9682
Wilkes,2019,9465
Wilkes,2020,9355
Wilson,2018,13225
Wilson,2019,13229
Wilson,2020,13197
Yadkin,2018,5444
Yadkin,2019,5453
Yadkin,2020,5421
Yancey,2018,2267
Yancey,2019,2287
Yancey,2020,2275
Alamance,2021,26633
Alexander,2021,5055
Alleghany,2021,1299
Anson,2021,3397
Ashe,2021,3153
Avery,2021,1813
Beaufort,2021,6305
Bertie,2021,2232
Bladen,2021,4555
Brunswick,2021,15175
Buncombe,2021,33699
Burke,2021,11403
Cabarrus,2021,39064
Caldwell,2021,11297
Camden,2021,1649
Carteret,2021,7895
Caswell,2021,2877
Catawba,2021,24476
Chatham,2021,10074
Cherokee,2021,3217
Chowan,2021,1866
Clay,2021,1278
Cleveland,2021,15528
Columbus,2021,7787
Craven,2021,15800
Cumberland,2021,62286
Currituck,2021,4487
Dare,2021,4655
Davidson,2021,25448
Davie,2021,6203
Duplin,2021,9808
Durham,2021,48813
Edgecombe,2021,8011
Forsyth,2021,61265
Franklin,2021,10853
Gaston,2021,35701
Gates,2021,1512
Graham,2021,1140
Granville,2021,8425
Greene,2021,2946
Guilford,2021,84451
Halifax,2021,7326
Harnett,2021,25628
Haywood,2021,7915
Henderson,2021,15388
Hertford,2021,2909
Hoke,2021,11267
Hyde,2021,536
Iredell,2021,28687
Jackson,2021,5167
Johnston,2021,37820
Jones,2021,1178
Lee,2021,10633
Lenoir,2021,8700
Lincoln,2021,12575
McDowell,2021,6200
Macon,2021,4559
Madison,2021,2615
Martin,2021,3203
Mecklenburg,2021,187354
Mitchell,2021,1892
Montgomery,2021,3988
Moore,2021,16104
Nash,2021,14409
New Hanover,2021,29899
Northampton,2021,2329
Onslow,2021,38116
Orange,2021,19149
Pamlico,2021,1280
Pasquotank,2021,6275
Pender,2021,10047
Perquimans,2021,1777
Person,2021,5730
Pitt,2021,27450
Polk,2021,2191
Randolph,2021,22239
Richmond,2021,7295
Robeson,2021,22996
Rockingham,2021,12828
Rowan,2021,21892
Rutherford,2021,9289
Sampson,2021,10956
Scotland,2021,5863
Stanly,2021,9609
Stokes,2021,5798
Surry,2021,10453
Swain,2021,2280
Transylvania,2021,3684
Tyrrell,2021,508
Union,2021,42070
Vance,2021,7510
Wake,2021,185551
Warren,2021,2373
Washington,2021,1644
Watauga,2021,4901
Wayne,2021,21171
Wilkes,2021,9355
Wilson,2021,13197
Yadkin,2021,5421
Yancey,2021,2275
Alamance,2022,26633
Alexander,2022,5055
Alleghany,2022,1299
Anson,2022,3397
Ashe,2022,3153
Avery,2022,1813
Beaufort,2022,6305
Bertie,2022,2232
Bladen,2022,4555
Brunswick,2022,15175
Buncombe,2022,33699
Burke,2022,11403
Cabarrus,2022,39064
Caldwell,2022,11297
Camden,2022,1649
Carteret,2022,7895
Caswell,2022,2877
Catawba,2022,24476
Chatham,2022,10074
Cherokee,2022,3217
Chowan,2022,1866
Clay,2022,1278
Cleveland,2022,15528
Columbus,2022,7787
Craven,2022,15800
Cumberland,2022,62286
Currituck,2022,4487
Dare,2022,4655
Davidson,2022,25448
Davie,2022,6203
Duplin,2022,9808
Durham,2022,48813
Edgecombe,2022,8011
Forsyth,2022,61265
Franklin,2022,10853
Gaston,2022,35701
Gates,2022,1512
Graham,2022,1140
Granville,2022,8425
Greene,2022,2946
Guilford,2022,84451
Halifax,2022,7326
Harnett,2022,25628
Haywood,2022,7915
Henderson,2022,15388
Hertford,2022,2909
Hoke,2022,11267
Hyde,2022,536
Iredell,2022,28687
Jackson,2022,5167
Johnston,2022,37820
Jones,2022,1178
Lee,2022,10633
Lenoir,2022,8700
Lincoln,2022,12575
McDowell,2022,6200
Macon,2022,4559
Madison,2022,2615
Martin,2022,3203
Mecklenburg,2022,187354
Mitchell,2022,1892
Montgomery,2022,3988
Moore,2022,16104
Nash,2022,14409
New Hanover,2022,29899
Northampton,2022,2329
Onslow,2022,38116
Orange,2022,19149
Pamlico,2022,1280
Pasquotank,2022,6275
Pender,2022,10047
Perquimans,2022,1777
Person,2022,5730
Pitt,2022,27450
Polk,2022,2191
Randolph,2022,22239
Richmond,2022,7295
Robeson,2022,22996
Rockingham,2022,12828
Rowan,2022,21892
Rutherford,2022,9289
Sampson,2022,10956
Scotland,2022,5863
Stanly,2022,9609
Stokes,2022,5798
Surry,2022,10453
Swain,2022,2280
Transylvania,2022,3684
Tyrrell,2022,508
Union,2022,42070
Vance,2022,7510
Wake,2022,185551
Warren,2022,2373
Washington,2022,1644
Watauga,2022,4901
Wayne,2022,21171
Wilkes,2022,9355
Wilson,2022,13197
Yadkin,2022,5421
Yancey,2022,2275
